"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Grain moisture content - %|CO_321:0001198","Grain test weight - g/l|CO_321:0001210","Grain yield - kg/ha|CO_321:0001218","Heading time - Julian date (JD)|CO_321:0001233","Plant height - cm|CO_321:0001301","notes"
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300763","IL2021-15138","21-15138","plot","310225","SI_Urb_22-1007","1","1","1007","34","14","test","","","","","15.9","799.65","6535.64","134","109.22",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300399","IL2021-41430","21-41430","plot","310253","SI_Urb_22-1008","1","1","1008","34","13","test","","","","","16.1","781.65","5756.03","133","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300016","IL2021-28970","21-28970","plot","310252","SI_Urb_22-1009","1","1","1009","34","12","test","","","","","15.9","791.71","5999.52","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272353","2020-8648","IL2020-8648","plot","310305","SI_Urb_22-101","1","1","101","4","20","test","","","","","11.8","767.53","5301.35","134","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299214","IL2021-15207","21-15207","plot","309736","SI_Urb_22-1010","1","1","1010","34","11","test","","","","","15.4","805.46","6899.8","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299419","IL2021-15117","21-15117","plot","309332","SI_Urb_22-1011","1","1","1011","34","10","test","","","","","15.8","798.7","6458.21","135","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299750","IL2021-41437","21-41437","plot","310412","SI_Urb_22-1012","1","1","1012","34","9","test","","","","","16","787.35","6315.38","132","91.44",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300938","IL2021-29134","21-29134","plot","310001","SI_Urb_22-1013","1","1","1013","34","8","test","","","","","15.6","800.77","7045.75","133","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299472","IL2021-42056","21-42056","plot","309987","SI_Urb_22-1014","1","1","1014","34","7","test","","","","","15.8","786.8","6270.77","134","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299380","IL2021-42132","21-42132","plot","310328","SI_Urb_22-1015","1","1","1015","34","6","test","","","","","15.4","781.77","6446.09","135","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301117","IL2021-15245","21-15245","plot","309313","SI_Urb_22-1016","1","1","1016","34","5","test","","","","","15.6","802.09","6447.93","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299619","IL2021-42001","21-42001","plot","309843","SI_Urb_22-1017","1","1","1017","34","4","test","","","","","15.6","792.85","6652.9","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299651","IL2021-16465","21-16465","plot","310527","SI_Urb_22-1018","1","1","1018","34","3","test","","","","","15.8","790.77","5895.89","133","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300625","IL2021-16459","21-16459","plot","310000","SI_Urb_22-1019","1","1","1019","34","2","test","","","","","15.8","803.99","6466.73","133","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272361","2020-8734","IL2020-8734","plot","309297","SI_Urb_22-102","1","1","102","4","19","test","","","","","11.9","772.19","5393.4","135","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299643","IL2021-16330","21-16330","plot","309917","SI_Urb_22-1020","1","1","1020","34","1","test","","","","","15.8","789.45","5614.73","135","91.44",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300917","IL2021-15263","21-15263","plot","309149","SI_Urb_22-1021","1","1","1021","35","1","test","","","","","15.9","790.39","5846.34","133","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300572","IL2021-16272","21-16272","plot","310143","SI_Urb_22-1022","1","1","1022","35","2","test","","","","","15.7","804.36","6312.34","133","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301069","IL2021-5066","21-5066","plot","310206","SI_Urb_22-1023","1","1","1023","35","3","test","","","","","15.7","784.55","6508.53","135","106.68",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299727","IL2021-41676","21-41676","plot","309902","SI_Urb_22-1024","1","1","1024","35","4","test","","","","","15.8","785.48","6006.65","134","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300339","IL2021-16668","21-16668","plot","309498","SI_Urb_22-1025","1","1","1025","35","5","test","","","","","15.8","735.23","6347.45","135","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300452","IL2021-16452","21-16452","plot","310356","SI_Urb_22-1026","1","1","1026","35","6","test","","","","","15.6","782.3","7208.02","135","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299786","IL2021-16457","21-16457","plot","309910","SI_Urb_22-1027","1","1","1027","35","7","test","","","","","15.6","794.17","6661.44","133","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300285","IL2021-43334","21-43334","plot","310484","SI_Urb_22-1028","1","1","1028","35","8","test","","","","","15.7","785.87","6969.16","133","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300565","IL2021-827","21-827","plot","309119","SI_Urb_22-1029","1","1","1029","35","9","test","","","","","16","796.63","6935.86","133","109.22",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272363","2020-8754","IL2020-8754","plot","309150","SI_Urb_22-103","1","1","103","4","18","test","","","","","11.9","758.29","5411.23","135","86.36",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300361","IL2021-25359","21-25359","plot","309850","SI_Urb_22-1030","1","1","1030","35","10","test","","","","","15.5","797.19","6464.12","135","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299585","IL2021-2661","21-2661","plot","310362","SI_Urb_22-1031","1","1","1031","35","11","test","","","","","15.6","799.45","6977.43","135","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299267","IL2021-6761","21-6761","plot","310519","SI_Urb_22-1032","1","1","1032","35","12","test","","","","","15.7","762.1","5570.21","132","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299682","IL2021-25362","21-25362","plot","309700","SI_Urb_22-1033","1","1","1033","35","13","test","","","","","15.4","812.04","6625.86","135","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299281","IL2021-5070","21-5070","plot","309443","SI_Urb_22-1034","1","1","1034","35","14","test","","","","","16.1","785.64","6876.67","133","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299488","IL2021-21356","21-21356","plot","309206","SI_Urb_22-1035","1","1","1035","35","15","test","","","","","16.1","797.58","6689.89","134","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300394","IL2021-29470","21-29470","plot","310132","SI_Urb_22-1036","1","1","1036","35","16","test","","","","","16","782.05","4836.41","133","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299344","IL2021-46563","21-46563","plot","310205","SI_Urb_22-1037","1","1","1037","35","17","test","","","","","16","754.21","6374.87","133","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301115","IL2021-47108","21-47108","plot","309899","SI_Urb_22-1038","1","1","1038","35","18","test","","","","","15.9","777.15","6229.28","136","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299973","IL2021-46760","21-46760","plot","310109","SI_Urb_22-1039","1","1","1039","35","19","test","","","","","16.2","793.22","5783.08","133","88.9",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272374","2020-8922","IL2020-8922","plot","309897","SI_Urb_22-104","1","1","104","4","17","test","","","","","11.6","789.73","5706.95","133","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299338","IL2021-28770","21-28770","plot","309269","SI_Urb_22-1040","1","1","1040","35","20","test","","","","","16.3","784.85","6513.03","133","91.44",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299565","IL2021-46521","21-46521","plot","310240","SI_Urb_22-1041","1","1","1041","35","21","test","","","","","15.9","791.71","5505.94","135","106.68",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299485","IL2021-47141","21-47141","plot","309914","SI_Urb_22-1042","1","1","1042","35","22","test","","","","","15.8","780.19","6177.05","136","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300796","IL2021-46626","21-46626","plot","310440","SI_Urb_22-1043","1","1","1043","35","23","test","","","","","16.4","763.15","5676.23","136","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299918","IL2021-47165","21-47165","plot","310074","SI_Urb_22-1044","1","1","1044","35","24","test","","","","","16","797.96","6196.38","135","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299605","IL2021-46635","21-46635","plot","310455","SI_Urb_22-1045","1","1","1045","35","25","test","","","","","16.4","772.47","5963.85","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300867","IL2021-47116","21-47116","plot","310097","SI_Urb_22-1046","1","1","1046","35","26","test","","","","","16.2","786.57","6334.26","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300114","IL2021-46659","21-46659","plot","309541","SI_Urb_22-1047","1","1","1047","35","27","test","","","","","17","782.08","5669.09","135","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301012","IL2021-46857","21-46857","plot","309738","SI_Urb_22-1048","1","1","1048","35","28","test","","","","","15.6","786.26","6234.43","135","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301092","IL2021-47071","21-47071","plot","309251","SI_Urb_22-1049","1","1","1049","35","29","test","","","","","16.9","778.46","5440.47","134","86.36",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272395","2020-9168","IL2020-9168","plot","310113","SI_Urb_22-105","1","1","105","4","16","test","","","","","11.3","779.52","5762.22","133","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300830","IL2021-46634","21-46634","plot","309804","SI_Urb_22-1050","1","1","1050","35","30","test","","","","","16.3","796.82","4497.29","135","78.74",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301138","IL2021-47142","21-47142","plot","310542","SI_Urb_22-1051","1","1","1051","36","30","test","","","","","12.1","815.75","5265.53","135","86.36",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300620","IL2021-17919","21-17919","plot","309924","SI_Urb_22-1052","1","1","1052","36","29","test","","","","","11.8","805.4","5649.41","133","83.82",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299455","IL2021-21737","21-21737","plot","309672","SI_Urb_22-1053","1","1","1053","36","28","test","","","","","11.8","797.83","5783.29","133","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299462","IL2021-3178","21-3178","plot","310126","SI_Urb_22-1054","1","1","1054","36","27","test","","","","","11.6","803.58","6225.76","134","91.44",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299873","IL2021-21718","21-21718","plot","309616","SI_Urb_22-1055","1","1","1055","36","26","test","","","","","12.1","787.89","6110.5","135","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300314","IL2021-18165","21-18165","plot","309904","SI_Urb_22-1056","1","1","1056","36","25","test","","","","","11.9","805.05","6614.71","133","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299230","IL2021-18225","21-18225","plot","310138","SI_Urb_22-1057","1","1","1057","36","24","test","","","","","12","803.44","5663.32","133","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301140","IL2021-24531","21-24531","plot","309816","SI_Urb_22-1058","1","1","1058","36","23","test","","","","","11.7","789.36","6040.02","133","104.14",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299855","IL2021-2869","21-2869","plot","309669","SI_Urb_22-1059","1","1","1059","36","22","test","","","","","11.8","797.83","6363.4","133","91.44",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","272403","2020-9242","IL2020-9242","plot","310526","SI_Urb_22-106","1","1","106","4","15","test","","","","","11.7","774.23","6504.64","135","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300364","IL2021-25152","21-25152","plot","309534","SI_Urb_22-1060","1","1","1060","36","21","test","","","","","12","799.64","6580.49","135","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300759","IL2021-29030","21-29030","plot","309470","SI_Urb_22-1061","1","1","1061","36","20","test","","","","","11.9","777.25","6596.88","133","86.36",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300687","IL2021-25121","21-25121","plot","309814","SI_Urb_22-1062","1","1","1062","36","19","test","","","","","11.7","793.14","6701.21","135","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300167","IL2021-17968","21-17968","plot","309188","SI_Urb_22-1063","1","1","1063","36","18","test","","","","","11.6","796.02","6941.37","134","96.52",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","301212","IL2021-24365","21-24365","plot","309663","SI_Urb_22-1064","1","1","1064","36","17","test","","","","","12.1","792.95","6911","133","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300936","IL2021-21479","21-21479","plot","310312","SI_Urb_22-1065","1","1","1065","36","16","test","","","","","11.8","783.94","6640.07","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","300473","IL2021-18152","21-18152","plot","309713","SI_Urb_22-1066","1","1","1066","36","15","test","","","","","11.9","798.73","6703.86","134","93.98",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299991","IL2021-28208","21-28208","plot","309362","SI_Urb_22-1067","1","1","1067","36","14","test","","","","","11.7","795.66","6567.18","134","99.06",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299794","IL2021-46908","21-46908","plot","309597","SI_Urb_22-1068","1","1","1068","36","13","test","","","","","11.7","795.66","6379.55","134","101.6",""
"2022","326","University of Illinois","Wheat breeding program at the University of Illinois","1358","SI_Urb_22","Small increase of primarily stage 1 breeding lines","greenhouse","1.09728","4.572","","","","2021-October-01","","26","Urbana, IL","299652","IL2021-5047","21-5047","plot","309607","SI_Urb_22-1069","1","1","1069","36","12","test","","","","","11.9","787.36","6070.91","133","101.6",""
